samples	symbol	Mutation	CNA Status	Expression
TCGA-06-5859	MN1	-	-	-0.018
TCGA-06-5859	MTOR	-	-	-0.305
TCGA-06-5859	NAV3	-	-	0.808
TCGA-06-5859	NBPF10	-	-	-0.198
TCGA-06-5859	NCOA4	-	-	-0.661
TCGA-06-5859	NF1	-	-	0.588
TCGA-06-5859	NFE2L2	-	-	0.637
TCGA-06-5859	NLRP3	-	-	0.296
TCGA-06-5859	NOTCH1	-	-	0.198
TCGA-06-5859	NR4A2	-	-	-0.022
TCGA-06-5859	PCBP1	-	-	-1.306
TCGA-06-5859	PDGFRA	-	-	0.365
TCGA-06-5859	PIK3CA	-	-	0.616
TCGA-06-5859	PIK3CG	-	-	0.123
TCGA-06-5859	PIK3R1	-	-	1.959
TCGA-06-5859	PIP5K1A	-	-	-0.142
TCGA-06-5859	PLCG1	-	-	1.483
TCGA-06-5859	PPP2R1A	-	-	-0.761
TCGA-06-5859	PTEN	-	-	-0.792
TCGA-06-5859	RAC1	-	-	0.768
TCGA-06-5859	RANBP2	-	-	-0.553
TCGA-06-5859	RANBP3	-	-	0.835
TCGA-06-5859	RB1	-	-	0.558
TCGA-06-5859	RBMX	-	-	0.055
TCGA-06-5859	RHEB	-	-	0.546
TCGA-06-5859	RHOA	-	-	-1.23
TCGA-06-5859	RPL5	-	-	-0.888
TCGA-06-5859	RPSAP58	-	-	-0.305
TCGA-06-5859	RUNX1	-	-	-0.549
TCGA-06-5859	RXRA	-	-	1.893
TCGA-06-5859	SMAD2	-	-	-0.235
TCGA-06-5859	SMC1A	-	-	-0.284
TCGA-06-5859	SPATA6	-	-	2.371
TCGA-06-5859	SPEN	-	-	-0.485
TCGA-06-5859	SPOP	-	-	2.85
TCGA-06-5859	STAG2	-	-	0.429
TCGA-06-5859	STK11	-	-	-0.225
TCGA-06-5859	SYNE1	-	-	0.082
TCGA-06-5859	TBL1XR1	-	-	-0.646
TCGA-06-5859	TBX3	-	-	0.109
TCGA-06-5859	TCF12	-	-	1.121
TCGA-06-5859	TCF7	-	-	0.92
TCGA-06-5859	TET2	-	-	-0.198
TCGA-06-5859	TFDP1	-	-	-0.334
TCGA-06-5859	TGFBR2	-	-	-0.317
TCGA-06-5859	TGIF1	-	-	-0.995
TCGA-06-5859	TJP2	-	-	2.723
TCGA-06-5859	TNFRSF10C	-	-	-0.239
TCGA-06-5859	TOM1	-	-	0.429
TCGA-06-5859	TP53	-	-	-0.221
TCGA-06-5859	U2AF1	-	-	-0.018
TCGA-06-5859	WT1	-	-	0.036
TCGA-06-5859	ZFP36L1	-	-	0.411
TCGA-06-5859	ZFP36L2	-	-	0.001
TCGA-06-5859	ZNF132	-	-	0.569
TCGA-06-5859	ZNF300	-	-	3.025
TCGA-06-5859	ZNF814	-	-	-0.294
TCGA-06-5859	ZNF844	-	-	0.104
TCGA-08-0386	ABCB1	-	-	0.758
TCGA-08-0386	ACVR1B	-	-	-0.646
TCGA-08-0386	ADCY1	-	-	0.743
TCGA-08-0386	ADORA2A	-	-	-0.069
TCGA-08-0386	AHNAK2	-	-	-0.091
TCGA-08-0386	AKAP9	-	-	-0.328
TCGA-08-0386	AKD1	-	-	0.749
TCGA-08-0386	AKT1	-	-	0.92
TCGA-08-0386	AMPH	-	-	0.619
TCGA-08-0386	APAF1	-	-	-0.12
TCGA-08-0386	BCOR	-	-	0.138
TCGA-08-0386	BRAF	-	-	0.273
TCGA-08-0386	BRCA1	-	-	0.117
TCGA-08-0386	BRCA2	-	-	0.139
TCGA-08-0386	CAD	-	-	1.123
TCGA-08-0386	CASP8	-	-	-1.023
TCGA-08-0386	CAST	-	-	-1.049
TCGA-08-0386	CBFB	-	-	-0.279
TCGA-08-0386	CCND1	-	-	-0.378
TCGA-08-0386	CDKN2A	-	-	1.314
TCGA-08-0386	CDKN2C	-	-	5.035
TCGA-08-0386	CEBPA	-	-	-0.207
TCGA-08-0386	CENPF	-	-	0.163
TCGA-08-0386	CFH	-	-	-0.417
TCGA-08-0386	CHD4	-	-	-0.817
TCGA-08-0386	CHD8	-	-	0.393
TCGA-08-0386	CREM	-	-	-0.395
TCGA-08-0386	CRTC3	-	-	0.037
TCGA-08-0386	CTCF	-	-	0.503
TCGA-08-0386	CUL1	-	-	0.849
TCGA-08-0386	DHX9	-	-	0.017
TCGA-08-0386	DICER1	-	-	-0.624
TCGA-08-0386	DMD	-	-	2.814
TCGA-08-0386	DNMT3A	-	-	-0.312
TCGA-08-0386	EGFR	0	2	1.272
TCGA-08-0386	EIF4A2	-	-	-0.558
TCGA-08-0386	ELF3	-	-	-0.729
TCGA-08-0386	ERCC2	-	-	1.004
TCGA-08-0386	EWSR1	-	-	-0.741
TCGA-08-0386	EZH2	-	-	1.628
TCGA-08-0386	FANCA	-	-	0.529
TCGA-08-0386	FBN2	-	-	-0.043
TCGA-08-0386	FBXO11	-	-	0.89
TCGA-08-0386	FES	-	-	0.007
TCGA-08-0386	FGFR3	-	-	0.918
TCGA-08-0386	FLT3	-	-	-0.005
TCGA-08-0386	FOXA2	-	-	0.052
TCGA-08-0386	FRG1B	-	-	-0.53
TCGA-08-0386	GATA3	-	-	-0.012
TCGA-08-0386	GNAI1	-	-	-0.287
TCGA-08-0386	GNAS	-	-	0.215
TCGA-08-0386	GOLGA5	-	-	-1.085
TCGA-08-0386	GOT2	-	-	-0.075
TCGA-08-0386	GPHN	-	-	2.659
TCGA-08-0386	GPS2	-	-	0.663
TCGA-08-0386	H3F3C	-	-	-0.48
TCGA-08-0386	HGF	-	-	0.243
TCGA-08-0386	HLA-A	-	-	-0.399
TCGA-08-0386	HMGXB4	-	-	-0.617
TCGA-08-0386	HRAS	-	-	0.564
TCGA-08-0386	HSPA8	-	-	-0.01
TCGA-08-0386	HUWE1	-	-	0.187
TCGA-08-0386	IDH1	-	-	0.397
TCGA-08-0386	IDH2	-	-	0.54
TCGA-08-0386	IRS2	-	-	0.503
TCGA-08-0386	KDM5C	-	-	-0.259
TCGA-08-0386	KEAP1	-	-	0.781
TCGA-08-0386	KIFC3	-	-	0.241
TCGA-08-0386	KIT	-	-	0.243
TCGA-08-0386	KRAS	-	-	-0.387
TCGA-08-0386	LEPR	-	-	-0.194
TCGA-08-0386	LIFR	-	-	5.244
TCGA-08-0386	LPP	-	-	-0.788
TCGA-08-0386	LUM	-	-	-0.319
TCGA-08-0386	LZTR1	-	-	-0.006
TCGA-08-0386	MALAT1	-	-	-0.004
TCGA-08-0386	MAP2K4	-	-	-0.151
TCGA-08-0386	MAP3K3	-	-	-0.605
TCGA-08-0386	MAPK8IP1	-	-	5.629
TCGA-08-0386	MATK	-	-	-0.117
TCGA-08-0386	MDM2	-	-	-0.173
TCGA-08-0386	MDM4	-	-	0.033
TCGA-08-0386	METTL14	-	-	-0.507
TCGA-08-0386	MN1	-	-	0.802
TCGA-08-0386	MTOR	-	-	0.474
TCGA-08-0386	NAV3	-	-	0.688
TCGA-08-0386	NBPF10	-	-	-0.001
TCGA-08-0386	NCOA4	-	-	-0.764
TCGA-08-0386	NF1	-	-	0.037
TCGA-08-0386	NFE2L2	-	-	0.191
TCGA-08-0386	NLRP3	-	-	0.052
TCGA-08-0386	NOTCH1	-	-	3.044
TCGA-08-0386	NR4A2	-	-	-0.18
TCGA-08-0386	PCBP1	-	-	-0.439
TCGA-08-0386	PDGFRA	-	-	0.289
TCGA-08-0386	PIK3CA	-	-	-0.287
TCGA-08-0386	PIK3CG	-	-	-0.077
TCGA-08-0386	PIK3R1	-	-	0.678
TCGA-08-0386	PIP5K1A	-	-	-0.083
TCGA-08-0386	PLCG1	-	-	2.835
TCGA-08-0386	PPP2R1A	-	-	0.22
TCGA-08-0386	PTEN	0	-2	-1.453
TCGA-08-0386	RAC1	-	-	0.852
TCGA-08-0386	RANBP2	-	-	-0.558
TCGA-08-0386	RANBP3	-	-	1.128
TCGA-08-0386	RB1	-	-	-1.183
TCGA-08-0386	RBMX	-	-	-0.027
TCGA-08-0386	RHEB	-	-	2.106
TCGA-08-0386	RHOA	-	-	0.554
TCGA-08-0386	RPL5	-	-	-0.857
TCGA-08-0386	RPSAP58	-	-	-0.188
TCGA-08-0386	RUNX1	-	-	-0.508
TCGA-08-0386	RXRA	-	-	1.462
TCGA-08-0386	SMAD2	-	-	-0.498
TCGA-08-0386	SMC1A	-	-	0.166
TCGA-08-0386	SPATA6	-	-	2.294
TCGA-08-0386	SPEN	-	-	0.468
TCGA-08-0386	SPOP	-	-	1.454
TCGA-08-0386	STAG2	-	-	0.845
TCGA-08-0386	STK11	-	-	0.807
TCGA-08-0386	SYNE1	-	-	0.186
TCGA-08-0386	TBL1XR1	-	-	-0.649
TCGA-08-0386	TBX3	-	-	-0.102
TCGA-08-0386	TCF12	-	-	1.88
TCGA-08-0386	TCF7	-	-	-0.425
TCGA-08-0386	TET2	-	-	-0.325
TCGA-08-0386	TFDP1	-	-	-0.106
TCGA-08-0386	TGFBR2	-	-	-0.442
TCGA-08-0386	TGIF1	-	-	-0.975
TCGA-08-0386	TJP2	-	-	0.566
TCGA-08-0386	TNFRSF10C	-	-	-0.106
TCGA-08-0386	TOM1	-	-	-0.477
TCGA-08-0386	TP53	-	-	0.739
TCGA-08-0386	U2AF1	-	-	1.443
TCGA-08-0386	WT1	-	-	-0.001
TCGA-08-0386	ZFP36L1	-	-	0.189
TCGA-08-0386	ZFP36L2	-	-	0.314
TCGA-08-0386	ZNF132	-	-	1.607
TCGA-08-0386	ZNF300	-	-	0.713
TCGA-08-0386	ZNF814	-	-	0.069
TCGA-08-0386	ZNF844	-	-	0.665
TCGA-12-0616	ABCB1	-	-	0.404
TCGA-12-0616	ACVR1B	-	-	-0.715
TCGA-12-0616	ADCY1	-	-	0.112
TCGA-12-0616	ADORA2A	-	-	-0.071
TCGA-12-0616	AHNAK2	-	-	-0.172
TCGA-12-0616	AKAP9	-	-	-0.534
TCGA-12-0616	AKD1	-	-	-0.002
TCGA-12-0616	AKT1	-	-	-0.602
TCGA-12-0616	AMPH	-	-	2.285
TCGA-12-0616	APAF1	-	-	-0.084
TCGA-12-0616	BCOR	-	-	-0.831
TCGA-12-0616	BRAF	-	-	-1.002
TCGA-12-0616	BRCA1	-	-	0.17
TCGA-12-0616	BRCA2	-	-	-0.201
TCGA-12-0616	CAD	-	-	-0.523
TCGA-12-0616	CASP8	-	-	-1.22
TCGA-12-0616	CAST	-	-	-1.127
TCGA-12-0616	CBFB	-	-	1.415
TCGA-12-0616	CCND1	-	-	-0.009
TCGA-12-0616	CDKN2A	-	-	3.677
TCGA-12-0616	CDKN2C	-	-	3.137
TCGA-12-0616	CEBPA	-	-	0.23
TCGA-12-0616	CENPF	-	-	0.246
TCGA-12-0616	CFH	-	-	-0.109
TCGA-12-0616	CHD4	-	-	-0.857
TCGA-12-0616	CHD8	-	-	-0.974
TCGA-12-0616	CREM	-	-	1.438
TCGA-12-0616	CRTC3	-	-	-0.357
TCGA-12-0616	CTCF	-	-	-0.392
TCGA-12-0616	CUL1	-	-	0.356
TCGA-12-0616	DHX9	-	-	0.111
TCGA-12-0616	DICER1	-	-	-0.892
TCGA-12-0616	DMD	-	-	0.271
TCGA-12-0616	DNMT3A	-	-	-0.097
TCGA-12-0616	EGFR	1	2	0.146
TCGA-12-0616	EIF4A2	-	-	0.123
TCGA-12-0616	ELF3	-	-	-0.729
TCGA-12-0616	ERCC2	-	-	-0.086
TCGA-12-0616	EWSR1	-	-	-0.179
TCGA-12-0616	EZH2	-	-	2.593
TCGA-12-0616	FANCA	-	-	0.326
TCGA-12-0616	FBN2	-	-	0.043
TCGA-12-0616	FBXO11	-	-	0.23
TCGA-12-0616	FES	-	-	-0.116
TCGA-12-0616	FGFR3	-	-	-0.039
TCGA-12-0616	FLT3	-	-	0
TCGA-12-0616	FOXA2	-	-	-0.006
TCGA-12-0616	FRG1B	-	-	-1.023
TCGA-12-0616	GATA3	-	-	-0.013
TCGA-12-0616	GNAI1	-	-	-0.171
TCGA-12-0616	GNAS	-	-	1.353
TCGA-12-0616	GOLGA5	-	-	-1.136
TCGA-12-0616	GOT2	-	-	0.419
TCGA-12-0616	GPHN	-	-	0.216
TCGA-12-0616	GPS2	-	-	0.758
TCGA-12-0616	H3F3C	-	-	-0.374
TCGA-12-0616	HGF	-	-	0.051
TCGA-12-0616	HLA-A	-	-	0.002
TCGA-12-0616	HMGXB4	-	-	0.29
TCGA-12-0616	HRAS	-	-	0.279
TCGA-12-0616	HSPA8	-	-	1.109
TCGA-12-0616	HUWE1	1	-	-1.173
TCGA-12-0616	IDH1	-	-	0.748
TCGA-12-0616	IDH2	-	-	0.137
TCGA-12-0616	IRS2	-	-	0.837
TCGA-12-0616	KDM5C	-	-	-1.047
TCGA-12-0616	KEAP1	-	-	0.448
TCGA-12-0616	KIFC3	-	-	0.792
TCGA-12-0616	KIT	0	-	0.086
TCGA-12-0616	KRAS	-	-	-0.244
TCGA-12-0616	LEPR	-	-	-0
TCGA-12-0616	LIFR	-	-	0.014
TCGA-12-0616	LPP	-	-	-0.967
TCGA-12-0616	LUM	-	-	-0.302
TCGA-12-0616	LZTR1	-	-	0.222
TCGA-12-0616	MALAT1	-	-	-0.013
TCGA-12-0616	MAP2K4	-	-	0.894
TCGA-12-0616	MAP3K3	-	-	-0.594
TCGA-12-0616	MAPK8IP1	-	-	1.833
TCGA-12-0616	MATK	-	-	-0.261
TCGA-12-0616	MDM2	0	2	18.329
TCGA-12-0616	MDM4	-	-	0.319
TCGA-12-0616	METTL14	-	-	-0.445
TCGA-12-0616	MN1	-	-	-0.028
TCGA-12-0616	MTOR	-	-	-0.703
TCGA-12-0616	NAV3	-	-	0.061
TCGA-12-0616	NBPF10	-	-	-0.265
TCGA-12-0616	NCOA4	-	-	-0.789
TCGA-12-0616	NF1	-	-	-0.75
TCGA-12-0616	NFE2L2	-	-	-0.15
TCGA-12-0616	NLRP3	-	-	0.045
TCGA-12-0616	NOTCH1	-	-	0.888
TCGA-12-0616	NR4A2	-	-	-0.185
TCGA-12-0616	PCBP1	-	-	-0.695
TCGA-12-0616	PDGFRA	-	-	0.944
TCGA-12-0616	PIK3CA	-	-	-0.432
TCGA-12-0616	PIK3CG	-	-	-0.122
TCGA-12-0616	PIK3R1	-	-	0.232
TCGA-12-0616	PIP5K1A	-	-	0.11
TCGA-12-0616	PLCG1	-	-	0.753
TCGA-12-0616	PPP2R1A	-	-	1.126
TCGA-12-0616	PTEN	-	-	-0.814
TCGA-12-0616	RAC1	-	-	1.31
TCGA-12-0616	RANBP2	-	-	-1.057
TCGA-12-0616	RANBP3	-	-	0.603
TCGA-12-0616	RB1	-	-	1.136
TCGA-12-0616	RBMX	-	-	1.678
TCGA-12-0616	RHEB	-	-	0.979
TCGA-12-0616	RHOA	-	-	2.053
TCGA-12-0616	RPL5	-	-	0.426
TCGA-12-0616	RPSAP58	-	-	1.182
TCGA-12-0616	RUNX1	-	-	-0.42
TCGA-12-0616	RXRA	-	-	-0.673
TCGA-12-0616	SMAD2	-	-	-0.149
TCGA-12-0616	SMC1A	-	-	-0.524
TCGA-12-0616	SPATA6	-	-	5.158
TCGA-12-0616	SPEN	-	-	-0.603
TCGA-12-0616	SPOP	-	-	1.212
TCGA-12-0616	STAG2	-	-	-0.668
TCGA-12-0616	STK11	-	-	0.416
TCGA-12-0616	SYNE1	-	-	0.242
TCGA-12-0616	TBL1XR1	-	-	-0.514
TCGA-12-0616	TBX3	-	-	-0.159
TCGA-12-0616	TCF12	-	-	3.547
TCGA-12-0616	TCF7	-	-	-0.042
TCGA-12-0616	TET2	-	-	0.069
TCGA-12-0616	TFDP1	-	-	-0.085
TCGA-12-0616	TGFBR2	-	-	-0.494
TCGA-12-0616	TGIF1	-	-	-0.059
TCGA-12-0616	TJP2	-	-	-1.281
TCGA-12-0616	TNFRSF10C	-	-	-0.139
TCGA-12-0616	TOM1	-	-	-0.155
TCGA-12-0616	TP53	-	-	0.071
TCGA-12-0616	U2AF1	-	-	0.443
TCGA-12-0616	WT1	0	2	0.105
TCGA-12-0616	ZFP36L1	-	-	-1.018
TCGA-12-0616	ZFP36L2	-	-	-0.312
TCGA-12-0616	ZNF132	-	-	1.045
TCGA-12-0616	ZNF300	-	-	5.434
TCGA-12-0616	ZNF814	-	-	0.735
TCGA-12-0616	ZNF844	-	-	0.628
TCGA-12-0619	ABCB1	-	-	0.295
TCGA-12-0619	ACVR1B	-	-	-0.869
TCGA-12-0619	ADCY1	-	-	0.388
TCGA-12-0619	ADORA2A	-	-	-0.178
TCGA-12-0619	AHNAK2	-	-	-0.122
TCGA-12-0619	AKAP9	-	-	-0.205
TCGA-12-0619	AKD1	-	-	-0.116
TCGA-12-0619	AKT1	-	-	1.252
TCGA-12-0619	AMPH	-	-	0.884
TCGA-12-0619	APAF1	-	-	0.022
TCGA-12-0619	BCOR	-	-	-0.064
TCGA-12-0619	BRAF	-	-	-0.211
TCGA-12-0619	BRCA1	-	-	0.23
TCGA-12-0619	BRCA2	-	-	-0.041
TCGA-12-0619	CAD	-	-	0.372
TCGA-12-0619	CASP8	-	-	-0.737
TCGA-12-0619	CAST	-	-	-0.396
TCGA-12-0619	CBFB	-	-	0.782
TCGA-12-0619	CCND1	-	-	-0.365
TCGA-12-0619	CDKN2A	-	-	1.476
TCGA-12-0619	CDKN2C	-	-	2.805
TCGA-12-0619	CEBPA	-	-	0.138
TCGA-12-0619	CENPF	-	-	0.305
TCGA-12-0619	CFH	-	-	0.042
TCGA-12-0619	CHD4	-	-	-0.085
TCGA-12-0619	CHD8	-	-	0.531
TCGA-12-0619	CREM	-	-	2.304
TCGA-12-0619	CRTC3	-	-	-0.074
TCGA-12-0619	CTCF	-	-	-0.327
TCGA-12-0619	CUL1	-	-	0.62
TCGA-12-0619	DHX9	-	-	-0.005
TCGA-12-0619	DICER1	-	-	0.292
TCGA-12-0619	DMD	-	-	0.939
TCGA-12-0619	DNMT3A	-	-	-0.144
TCGA-12-0619	EGFR	1	2	3.822
TCGA-12-0619	EIF4A2	-	-	-0.247
TCGA-12-0619	ELF3	-	-	-0.723
TCGA-12-0619	ERCC2	-	-	0.664
TCGA-12-0619	EWSR1	-	-	-0.453
TCGA-12-0619	EZH2	-	-	2.279
TCGA-12-0619	FANCA	-	-	0.268
TCGA-12-0619	FBN2	-	-	0.183
TCGA-12-0619	FBXO11	-	-	0.111
TCGA-12-0619	FES	-	-	0.346
TCGA-12-0619	FGFR3	-	-	-0.042
TCGA-12-0619	FLT3	-	-	-0.003
TCGA-12-0619	FOXA2	-	-	-0.007
TCGA-12-0619	FRG1B	-	-	-0.182
TCGA-12-0619	GATA3	-	-	-0.008
TCGA-12-0619	GNAI1	-	-	-0.225
TCGA-12-0619	GNAS	-	-	0.295
TCGA-12-0619	GOLGA5	-	-	-0.23
TCGA-12-0619	GOT2	-	-	-0.376
TCGA-12-0619	GPHN	-	-	0.901
TCGA-12-0619	GPS2	-	-	-0.037
TCGA-12-0619	H3F3C	-	-	-0.413
TCGA-12-0619	HGF	-	-	0.126
TCGA-12-0619	HLA-A	-	-	0.181
TCGA-12-0619	HMGXB4	-	-	-0.412
TCGA-12-0619	HRAS	-	-	0.364
TCGA-12-0619	HSPA8	-	-	0.077
TCGA-12-0619	HUWE1	-	-	0.643
TCGA-12-0619	IDH1	-	-	0.017
TCGA-12-0619	IDH2	-	-	-0.507
TCGA-12-0619	IRS2	-	-	0.499
TCGA-12-0619	KDM5C	-	-	0.047
TCGA-12-0619	KEAP1	-	-	0.383
TCGA-12-0619	KIFC3	-	-	0.608
TCGA-12-0619	KIT	-	-	-0.055
TCGA-12-0619	KRAS	-	-	-0.333
TCGA-12-0619	LEPR	-	-	-0.05
TCGA-12-0619	LIFR	-	-	0.862
TCGA-12-0619	LPP	-	-	-0.798
TCGA-12-0619	LUM	-	-	-0.29
TCGA-12-0619	LZTR1	-	-	0.503
TCGA-12-0619	MALAT1	-	-	0.047
TCGA-12-0619	MAP2K4	-	-	-0.89
TCGA-12-0619	MAP3K3	-	-	0.632
TCGA-12-0619	MAPK8IP1	-	-	2.104
TCGA-12-0619	MATK	-	-	-0.182
TCGA-12-0619	MDM2	-	-	-0.054
TCGA-12-0619	MDM4	-	-	0.134
TCGA-12-0619	METTL14	-	-	-0.345
TCGA-12-0619	MN1	-	-	-0.154
TCGA-12-0619	MTOR	-	-	1.375
TCGA-12-0619	NAV3	-	-	0.023
TCGA-12-0619	NBPF10	-	-	0.001
TCGA-12-0619	NCOA4	-	-	-0.637
TCGA-12-0619	NF1	-	-	-0.72
TCGA-12-0619	NFE2L2	-	-	0.445
TCGA-12-0619	NLRP3	-	-	0.368
TCGA-12-0619	NOTCH1	-	-	1.168
TCGA-12-0619	NR4A2	-	-	0.116
TCGA-12-0619	PCBP1	-	-	-0.576
TCGA-12-0619	PDGFRA	-	-	0.026
TCGA-12-0619	PIK3CA	-	-	0.352
TCGA-12-0619	PIK3CG	-	-	0.255
TCGA-12-0619	PIK3R1	-	-	0.794
TCGA-12-0619	PIP5K1A	-	-	0.699
TCGA-12-0619	PLCG1	-	-	2.683
TCGA-12-0619	PPP2R1A	-	-	-0.224
TCGA-12-0619	PTEN	-	-	-1.263
TCGA-12-0619	RAC1	-	-	0.36
TCGA-12-0619	RANBP2	-	-	-0.272
TCGA-12-0619	RANBP3	-	-	0.57
TCGA-12-0619	RB1	1	-	0.163
TCGA-12-0619	RBMX	-	-	0.145
TCGA-12-0619	RHEB	-	-	0.577
TCGA-12-0619	RHOA	-	-	1.142
TCGA-12-0619	RPL5	-	-	-0.71
TCGA-12-0619	RPSAP58	-	-	-0.032
TCGA-12-0619	RUNX1	-	-	-0.43
TCGA-12-0619	RXRA	-	-	0.927
TCGA-12-0619	SMAD2	-	-	0.053
TCGA-12-0619	SMC1A	-	-	0.797
TCGA-12-0619	SPATA6	-	-	1.7
TCGA-12-0619	SPEN	-	-	0.534
TCGA-12-0619	SPOP	-	-	0.833
TCGA-12-0619	STAG2	-	-	0.537
TCGA-12-0619	STK11	-	-	0.282
TCGA-12-0619	SYNE1	-	-	0.377
TCGA-12-0619	TBL1XR1	-	-	-0.511
TCGA-12-0619	TBX3	-	-	-0.143
TCGA-12-0619	TCF12	-	-	0.304
TCGA-12-0619	TCF7	-	-	-0.137
TCGA-12-0619	TET2	-	-	-0.025
TCGA-12-0619	TFDP1	-	-	0.318
TCGA-12-0619	TGFBR2	-	-	0.025
TCGA-12-0619	TGIF1	-	-	-0.884
TCGA-12-0619	TJP2	-	-	-0.418
TCGA-12-0619	TNFRSF10C	-	-	0.161
TCGA-12-0619	TOM1	-	-	-0.028
TCGA-12-0619	TP53	1	-	0.021
TCGA-12-0619	U2AF1	-	-	0.443
TCGA-12-0619	WT1	-	-	-0.01
TCGA-12-0619	ZFP36L1	-	-	0.173
TCGA-12-0619	ZFP36L2	-	-	0.12
TCGA-12-0619	ZNF132	-	-	0.904
TCGA-12-0619	ZNF300	-	-	1.565
TCGA-12-0619	ZNF814	-	-	0.182
TCGA-12-0619	ZNF844	-	-	-0.131
TCGA-12-0821	ABCB1	-	-	0.255
TCGA-12-0821	ACVR1B	-	-	-0.122
TCGA-12-0821	ADCY1	-	-	0.143
TCGA-12-0821	ADORA2A	-	-	-0.189
TCGA-12-0821	AHNAK2	-	-	-0.186
TCGA-12-0821	AKAP9	-	-	-0.377
TCGA-12-0821	AKD1	-	-	0.273
TCGA-12-0821	AKT1	-	-	-0.641
TCGA-12-0821	AMPH	-	-	1.807
TCGA-12-0821	APAF1	-	-	0.103
TCGA-12-0821	BCOR	-	-	-0.84
TCGA-12-0821	BRAF	0	-	-0.656
TCGA-12-0821	BRCA1	-	-	0.615
TCGA-12-0821	BRCA2	-	-	-0.083
TCGA-12-0821	CAD	-	-	-0.401
TCGA-12-0821	CASP8	-	-	-0.773
TCGA-12-0821	CAST	-	-	-0.865
TCGA-12-0821	CBFB	-	-	1.061
TCGA-12-0821	CCND1	-	-	-0.308
TCGA-12-0821	CDKN2A	0	-2	-0.078
TCGA-12-0821	CDKN2C	-	-	3.271
TCGA-12-0821	CEBPA	-	-	-0.145
TCGA-12-0821	CENPF	-	-	-0.099
TCGA-12-0821	CFH	-	-	-0.161
TCGA-12-0821	CHD4	-	-	-0.676
TCGA-12-0821	CHD8	-	-	-0.924
TCGA-12-0821	CREM	-	-	0.415
TCGA-12-0821	CRTC3	-	-	0.752
TCGA-12-0821	CTCF	-	-	0.749
TCGA-12-0821	CUL1	-	-	1.666
TCGA-12-0821	DHX9	-	-	0.377
TCGA-12-0821	DICER1	-	-	-0.687
TCGA-12-0821	DMD	0	-2	1.086
TCGA-12-0821	DNMT3A	-	-	-0.216
TCGA-12-0821	EGFR	-	-	0.083
TCGA-12-0821	EIF4A2	-	-	-0.19
TCGA-12-0821	ELF3	-	-	-0.728
TCGA-12-0821	ERCC2	-	-	-0.013
TCGA-12-0821	EWSR1	-	-	-0.236
TCGA-12-0821	EZH2	-	-	1.62
TCGA-12-0821	FANCA	-	-	0.092
TCGA-12-0821	FBN2	-	-	0.316
TCGA-12-0821	FBXO11	-	-	2.073
TCGA-12-0821	FES	-	-	-0.11
TCGA-12-0821	FGFR3	-	-	-0.074
TCGA-12-0821	FLT3	-	-	-0.005
TCGA-12-0821	FOXA2	-	-	-0.004
TCGA-12-0821	FRG1B	-	-	-0.049
TCGA-12-0821	GATA3	-	-	-0.013
TCGA-12-0821	GNAI1	-	-	-0.366
TCGA-12-0821	GNAS	-	-	0.318
TCGA-12-0821	GOLGA5	-	-	-0.845
TCGA-12-0821	GOT2	-	-	-0.486
TCGA-12-0821	GPHN	-	-	0.38
TCGA-12-0821	GPS2	-	-	0.677
TCGA-12-0821	H3F3C	-	-	0.035
TCGA-12-0821	HGF	-	-	-0.021
TCGA-12-0821	HLA-A	-	-	-0.417
TCGA-12-0821	HMGXB4	-	-	-0.462
TCGA-12-0821	HRAS	-	-	0.304
TCGA-12-0821	HSPA8	-	-	0.238
TCGA-12-0821	HUWE1	-	-	-0.938
TCGA-12-0821	IDH1	-	-	-0.199
TCGA-12-0821	IDH2	-	-	-0.131
TCGA-12-0821	IRS2	-	-	0.226
TCGA-12-0821	KDM5C	-	-	-0.87
TCGA-12-0821	KEAP1	-	-	0.602
TCGA-12-0821	KIFC3	-	-	0.016
TCGA-12-0821	KIT	-	-	0.088
TCGA-12-0821	KRAS	-	-	-0.073
TCGA-12-0821	LEPR	-	-	-0.055
TCGA-12-0821	LIFR	-	-	2.654
TCGA-12-0821	LPP	-	-	-0.876
TCGA-12-0821	LUM	-	-	-0.316
TCGA-12-0821	LZTR1	-	-	-0.738
TCGA-12-0821	MALAT1	-	-	-0.027
TCGA-12-0821	MAP2K4	-	-	0.938
TCGA-12-0821	MAP3K3	-	-	-0.755
TCGA-12-0821	MAPK8IP1	-	-	3.76
TCGA-12-0821	MATK	-	-	-0.208
TCGA-12-0821	MDM2	-	-	-0.024
TCGA-12-0821	MDM4	0	2	2.463
TCGA-12-0821	METTL14	-	-	0.327
TCGA-12-0821	MN1	-	-	-0.211
TCGA-12-0821	MTOR	-	-	-0.614
TCGA-12-0821	NAV3	-	-	0.359
TCGA-12-0821	NBPF10	-	-	-0.155
TCGA-12-0821	NCOA4	-	-	-0.819
TCGA-12-0821	NF1	-	-	-0.015
TCGA-12-0821	NFE2L2	-	-	0.364
TCGA-12-0821	NLRP3	-	-	-0.078
TCGA-12-0821	NOTCH1	-	-	0.075
TCGA-12-0821	NR4A2	-	-	-0.242
TCGA-12-0821	PCBP1	-	-	-0.909
TCGA-12-0821	PDGFRA	-	-	0.021
TCGA-12-0821	PIK3CA	1	-	0.014
TCGA-12-0821	PIK3CG	-	-	-0.174
TCGA-12-0821	PIK3R1	-	-	2.395
TCGA-12-0821	PIP5K1A	-	-	0.09
